letterInfo_ID,post_ID,letter_date,letter_dbdate,manuscript_location,letter_fromAddress,letter_footnote
2492,2544,March 7th 1876 [6 March 1876],1876-03-07,MS Plymouth and West Devon Area Record Office Acc No 308: 7-3-76[[footnote:1]],"Elderfield, Otterbourne, Winchester. ","[[footnote:2]]With envelope addressed to Miss Yonge/ Puslinch/ Yealmpton/ Devon and postmarked Winchester 6 March 1876 [sic] and Plymouth 7 March 1876.  Endorsed \'Julian No 1\'.

[[footnote:3]]Gossip about Julian Yonge\'s financial disaster was circulating through the family networks. Mary (Walter) Woollcombe was a sister of Frances (Walter) Yonge and Gertrude Walter.  Her husband’s family lived near Puslinch, and her brother-in-law William Woollcombe (1832-1921) had married Anne Catharina Pode (d.1913) , a first cousin of CMY, and sister of  Frances Alethea (Pode) Hickes and of Charlotte (Pode) Yonge, Mary Yonge’s sister-in-law.  The Rev.Thomas Hickes, Alethea’s husband, was at this time curate of Hursley.

<br/>"
2493,2545,March 17th 1876,1876-03-17,MS British Library Add MSS 54921: 12-13 ,"Elderfield, Otterbourne, Winchester.",<br/>
2495,2547,March 20th 1876,1876-03-20,MS Plymouth and West Devon Record Office  308/259[[footnote:1]],"Elderfield, Otterbourne, Winchester.","[[footnote:1]]With envelope addressed to ‘Miss Yonge/ Puslinch/ Yealmpton’, endorsed ‘Julian. No 2 Recd March 23 1876’ and postmarked Winchester 21 March and Exeter 22 March 1876.

[[footnote:2]]Jane Montgomery Moore was living in India.   The Rt. Rev. Henry Alexander Douglas (1821-December 1875) served briefly as Bishop of Bombay before his death.

<br/>"
2496,2548,April 1st 1876,1876-04-01,MS Mrs Katherine Wykes-Sneyd[[footnote:1]],,"[[footnote:1]]Postcard addressed to \'Miss M. Fursdon/Fursdon/Tiverton\', postmarked \'Winchester 1 April 1876\'.

[[footnote:2]]This is an interesting survival which shows the format in which essay questions were circulated to members of the Gosling Society.

<br/>"
2497,2549,April 4 th [1876?],1876-04-04,MS Mrs Clare Roels,"Elderfield, Otterbourne, Winchester.","[[footnote:1]]The words \'first\' and \'second\' have been erased and the words ‘yes they were’ inserted.  Henry the Navigator, King of Portugal (1394-1560), and his brothers were connected to English history by their mother, Philippa, daughter of John of Gaunt, which explains how CMY had worked them into one of her <i>Cameos from English History</i>.  Coleridge was writing a novel about them.

[[footnote:2]]Pedro Calderón de la Barca, <i>El Principe Constante y Martyr de Portugal</i> (1680?).  Archbishop Trench had published some translations of Calderon, and also a poem called \'The Steadfast Prince\' about Prince Ferdinand of Portugal (1402-1443), the subject of the play, but no translation of the play by him has been found.

[[footnote:3]]Coleridge\'s novel <i>Lady Betty</i> is about a pair of Jacobite sisters.

<br/>"
2498,2550,May 1st 1876,1876-05-01,MS Plymouth and West Devon Area Record Office Acc No 308: 1-5-76,"Elderfield, Otterbourne, Winchester.","[[footnote:1]]Rowland Jones Bateman (d.1896), a barrister, was a close friend of Julian Yonge\'s who lived at the Grange, Allbrook and was much involved in parish work in Otterbourne.

[[footnote:2]]Matilda Blanche (Crawley) Gibbs (d. 1887), of Tyntesfield,  CMY’s second cousin, had financed the building of Keble College Chapel, whose opening on 25 April 1876 CMY had attended.

[[footnote:3]]The Warden of Keble College was the Rev. Edward Stuart Talbot (1844-1934), whose father-in-law, the 4th Lord Lyttelton (1817-1876) had committed suicide in a fit of depression on 19 April. The 6th Earl Beauchamp (1830-1891) was a prominent Tractarian layman.

[[footnote:4]]The other attendees included Gathorne Hardy (1814-1906), conservative politician, later 1st Earl of Cranbrook;  and the 3rd Marquess of Salisbury (1830-1903), then Secretary of State for India and subsequently Prime Minister.

[[footnote:5]]The Rt. Rev. Louis George Mylne (1843-1921), consecrated Bishop of Bombay 1 May 1876.

[[footnote:6]]The Rev. Canon Henry Parry Liddon (1829-1890), a disciple of Pusey famous for his eloquence and the length of his sermons.

<br/>"
2499,2551,May 2nd 1876,1876-05-02,MS Miss Barbara Dennis/2 ,"Elderfield, Otterbourne, Winchester.","[[footnote:1]] Sophia Jane (Collinson) Harrison (1826-1891), wife of the railway engineer Thomas Elliot Harrison (1808-1888) was certainly a correspondent of CMY\'s and a philanthropist,  but proof is lacking that this letter is definitely to her.<br/>"
2501,2553,May 8 th [1876],1876-05-08,MS Plymouth and West Devon Area Record Office Acc No 308: 8-5-76,Elderfield,
2500,2552,[May 1876],1876-05-18,MS fragment West Devon Area Record Office Acc No 308: ?-5-76,,"[[footnote:1]]The Rev. Edgar Jacob (1844-1920), at this time a chaplain in Bengal and subsequently (1895) Bishop of Newcastle and (1903) St. Albans.  He was the brother of CMY\'s friends and neighbours Edith and Gertrude Jacob.  Jane (Colborne) Montgomery Moore’s husband was Lieut-Col. commanding the 4th Hussars, who were stationed at Rawalpindi.<br/>"
2502,2554,June 1st 1876,1876-06-01,MS Plymouth and West Devon Area Record Office Acc No 308:  1-6-76,Elderfield,"[[footnote:1]]Mary’s nephew, the Rev. Edmund Doidge Anderson Morshead (1849-1912), still a schoolboy at Winchester College.

[[footnote:2]]The Rev. Edward Lyon Berthon (1813-1899) was Vicar of Romsey and inventor of the screw propeller;  his wife had died in 1865.  His memoirs do not refer to this episode.

[[footnote:3]]The passage between asterisks ** is on a separate sheet and is inserted conjecturally.

[[footnote:4]]On 3 August 1876 the daughters of the Bishop of Oxford and his wife Alethea (Coleridge) Mackarness were married at Cuddesdon.  Mary Alethea Mackarness (1851-1940) married her cousin the Hon. Bernard Coleridge and her sister Eleanor Victoria Mackarness (1855-1936) married the Hon. and Rev. Randal Parsons (1848-1936).  (The MSS certainly says 9 not 3 but the wedding definitely took place on the 3rd (<i>Jackson\'s Oxford Journal</i>, 12 August 1876).

<br/>"
2503,2555,June 17th 1876,1876-06-17,MS University of London Library/AL 293/2/1,"Elderfield, Otterbourne, Winchester.","(1875) was the first book published by the evangelical theologian Charles Henry Waller (1840-1910), lecturer and subsequently (1884) principal of St. John’s Hall, Highbury, a theological college.  He had married (1865) Anna Maria Stubbs, to whom this letter may perhaps have been written.  CMY recommended it warmly in \'Hints on Reading\' <i>MP</i> (September 1876) 287.<br/>"
2504,2556,July 3d [1876],1876-07-03,MS Plymouth and West Devon Record Office  308/260,Elderfield,"[[footnote:1]]On 3 August 1876 Mary Alethea Mackarness (1851-1940) married her cousin the Hon. Bernard Coleridge and her sister Eleanor Victoria Mackarness (1855-1936) married the Hon. and Rev. Randal Parsons (1848-1936).  Alethea Mackarness and her husband perhaps disapproved of [[other:101]first cousins marrying], or perhaps they disliked the fact that Bernard Coleridge was still reading for the bar and financially dependent on his father, Lord Coleridge, then chief justice of the common pleas and subsequently Lord Chief Justice."
2505,2557,July 6th [1876?],1876-07-06,MS Charlotte Mary Yonge Society/7,Elderfield,"[[footnote:1]]Perhaps of the new incumbency of Otterbourne, so that the  [[person:478]Rev. Walter Elgie] became Vicar rather than curate.

<br/>"
2506,2558,July 10th 1876[[footnote:1]],1876-07-10,University of Tennessee Special Collections Library,"Elderfield, Otterbourne, Winchester.",[[footnote:1]]The number is indistinct and might read 19th.<br/>
3561,3628,July 13th 1876,1876-07-13,MS Charlotte Mitchell,"Elderfield, Otterbourne, Winchester.",[[footnote:1]]We have been unable to identify either article.
2507,2559,July 27th 1876,1876-07-27,MS Plymouth and West Devon Area Record Office Acc No 308: 28-7-76[[footnote:1]],"Elderfield, Otterbourne, Winchester.","[[footnote:1]]With envelope addressed to Miss Yonge/ Puslinch/ Yealmpton, postmarked Winchester 28 July 1876 and endorsed ‘Julians Aug 7th-17th CMY if her life is written’.

[[footnote:2]]Thomas Chamberlayne (1805-21 October 1876) of Cranbury Park, near Otterbourne, principal landowner in the parish.

[[footnote:3]]This is probably a reference to Mary\'s widowed sister-in-law Cordelia Yonge.

[[footnote:4]]Unidentified, perhaps poor neighbours of Mary Yonge\'s?



<br/>"
2508,2560,Aug 7 th [1876],1876-08-07,MS Plymouth and West Devon Area Record Office Acc No 308: 7-8-76,"Elderfield, Otterbourne, Winchester.","[[footnote:2]]Evidently the letter described the illness of their cousin [[person:32]Henry Anderson Morshead] (1848/9-1876).

[[footnote:3]]Sir William Heathcote\'s eldest son, Sir William Perceval Heathcote, 6th Bt. (1826-1903) married (1849) Letitia Maria Daly (1828/9-1910).  Their eldest son was

Sir William Arthur Heathcote , S.J., 7th Bt. (1853-1924).

[[footnote:5]]Sir Gilbert Redvers Heathcote, 8th Bt. (1854-1937).

<br/>[[footnote:6]]Captain George Parker Heathcote (1828-1871) returned from India a cripple in 1860 and married (1869) his cousin Isabella Margaretta Elizabeth Walpole (d.1938).

<br/>[[footnote:7]]The Rev. Gilbert Vyvyan Heathcote (1830-1890), Rector of West Deeping, Lincs..

<br/>[[footnote:8]]Major Charles George Heathcote (1843-1924).

<br/>[[footnote:9]]See above.  He married (19 December 1876) Grace Hussey (d. 1932).

<br/>[[footnote:10]]Arthur Malcolm Heathcote (1847-1934).

<br/>"
