"general_bookID","author_surname","author_prefix","author_first_name","author_suffix","title","vols","imprint","date","notes"
"1101","Palgrave","","Reginald F. D.",""," \'Carlyle, the \\""pious editor\\"" of Cromwell\'s speeches\'   ","1","<i>National Review</i>  8 (January 1887), 588-604. ","1887",""
"1102","Smedes","","Susan Dabney","","<i>Memorials of a Southern Planter</i>","1","Baltimore: Cushings & Bailey ","1887",""
"1103","Knight","","Charles","(editor)","<i>Old England,  a Pictorial Museum of Regal, Ecclesistical, Baronial, Municipal, and Popular Antiquities</i>","2","London: Knight","1845","
"
"1104","Craik","","George Lillie ","and Charles MacFarlane","<i>The Pictorial History of England: Being a History of the People, as well as a History of the Kingdom</i>","4","London: Knight","1837-1841",""
"1105","","","","","\'In the Fog, or, The Magician Hunt\'","1","<i>MP</i> (Christmas 1878), 102-118.","1878","The writer is described as author of \'Marling Hall\' (a serial contributed anonymously to <i>London Society</i> in 1866) and \'William Hooper\'.  Neither seems to have appeared in volume form."
"1106","Chambers","","Robert","","<i>	 The Book of Days: A Miscellany of Popular Antiquities in Connection with the Calendar</i>","2","London and Edinburgh: Chambers","1862-1864",""
"1107","Ewing","","Juliana Horatia","","‘The blind hermit and the Trinity flower’","1","<i>MP</i> (May 1871), 490-7.","1871",""
"1108","Wilford","","Florence","","<i>A Vantage Ground and Other Stories</i> Reprinted from the <i>Monthly Packet</i> and the <i>Churchman\'s Companion</i>","1","London: Masters","1879",""
"1109","Henderson","The Rev.","William George","","\'Notes on the Folk Lore of the North of England\'","1","<i>MP</i> (February-September 1862)","1862",""
"1110","Lear","","Henrietta Louisa",""," <i>A Dominican Artist: A Sketch of the Life of the Rev. Père Besson of the Order of St. Dominic</i>","1","London: Rivington","1870","See also [[person:859]Henrietta Lear]."
"1111","Strickland","","Agnes","","<i>Lives of the Queens of Scotland and English Princesses</i> ","8","Edinburgh: Blackwood","1850-1859",""
"1112","Lapide","","Cornelius à","","<i>Commentaria in Ezechielem Prophetam</i>","1","Antwerp: Nutius","1621",""
"1113","Vaux","The Rev.","James Edward","","<i>Church Folklore; A Record of some Post-Reformation Usages in the English Church, now mostly Obsolete</i>","1","London: Griffith, Farran","1894"," A second edition, <i>Church Folk Lore . . . Revised and Greatly Enlarged</i> (London: Skeffington, 1902), includes quotation from a letter or letters from CMY."
"1114","Falconer","","Lanoe","","\'Kismet!\'","1","<i>MP</i> (November 1892), 510-521.","1892","The author\'s real name was Mary Elizabeth Hawker."
"1115","March-Phillipps","","Evelyn","","<i>Lanoe Falconer (Author of \\""Mademoiselle Ixe\\"")</i>  ","1","London: Nisbet","1915","A biography of Mary Elizabeth Hawker."
"1116","Beckett","","John","","\'Canon Thomas Taylor of St. Just and the Victoria County History in Cornwall, 1899-1938\' ","1","<i>Journal of the Royal Institution of Cornwall</i> (2011)","2011",""
"1117","Webster","","Noah","","<i>Dr. Webster\'s complete dictionary of the English Language</i> thoroughly revised and improved, by Chauncey A. Goodrich and Noah Porter ","1","London: Bell and Daldy","1864","CMY states (1900) that this was the edition she used.
"
"1118","Bullock","The Rev.","J. F. W.","","<i>Daily Lections for Every Morning and Evening throughout the Year</i>","3","London: Rivington","1902"," In 1902 Bullock published the first three volumes of a projected six volume work called <i>Daily Lections for every Morning and Evening throughout the Year</i> (London: Rivington 1902).  Volume V of this work, described in his preface, was to have consisted of \'Lections on Anglican Worthies, arranged as additional Readings for Sunday\'.  CMY contributed several of these \'Biographies of Eminent Anglicans\', which exist in MS and are catalogued under that name among the Bullock papers in the Bodleian Library, Oxford, but were never published, since no more of the <i>Daily Lections</i> ever appeared. "
"1119","Redgrave","","Elizabeth","","<i>The Word and the Work, or, The Harmony of Scripture with Geological Discoveries</i>","1","London: Mozley","1860","This work was described in \'Hints on Reading\', <i>MP</i> (January 1860), 111, as \'a series of conversations between a clergyman and a mechanic, intended to popularize Hugh Miller\'s views of the Periods of Creation, and to show how they may be reconciled with the Scriptural narrative.\'"
"1120","Dumas","","Alexandre","","<i>Le Comte de Monte-Cristo</i>","18","Paris: Pétion","1844-1845",""
"1121","Cole","","Nina","","<i>Meditations on the Song of Songs</i>","1","London: Hayes","1874",""
"1122","Sinclair","","Catherine","","<i>Holiday House: A Book for the Young</i>","1","Edinburgh: Whyte","1839",""
"1123","Montgomery","","Florence","","<i>Misunderstood: A Tale</i>","1","London: Bentley","1869",""
"1124","Young","","Lily","","<i>Gerald and Dolly: A Story of Two Small People</i>","1","London: Nisbet","1897",""
"1125","Fuller","","Thomas","","<i>The History of the Worthies of England</i>","1","London: J.G.","1662",""
"1126","Fraser Tytler","","Patrick","","<i>Lives of the Scottish Worthies</i>","3","London: Murray","1831-3",""
"1127","Perrault","","Charles","","<i>Les Hommes Illustres qui ont paru en France</i>","1","Paris: Dazallier","1696",""
"1128","Macmillan","The Rev.","Hugh","","<i>Footnotes from the Page of Nature, or, First Forms of Vegetation</i> ","1","Cambridge: Macmillan","1861","According to Alexander Macmillan, the author was a relation of his."
"1129","Kingsley","","Henry","","<i>Silcote of the Silcotes</i>","1","London: Macmillan","1867",""
"1130","De Teisser","","George Frederick","","<i>The House of Prayer, or a Practical exposition of the Order for Morning and Evening Prayer in the Church of England</i>","1","London: Macmillan","1866",""
