persons_id,surname,first_name,prefix,maiden_name,suffix,title,dates,description,biography
1940,Kingsley,Henry,,,,,(1830-1876),"novelist, brother of Charles Kingsley",
1941,Humiston,Amos,Sergeant,,,, (1830-1863),Union soldier killed at the battle of Gettysburg,"Drew Gilpin Faust, <i>This Republic of Suffering: Death and the American Civil War</i> (New York: Vintage 2008), 11, describes the currency of this story: \'A dead Yankee soldier at Gettysburg was found with an ambrotype of three children \\""tightly clasped in his hands.\\"" The ultimately successful effort to identify him created a sensation, with magazine and newspaper articles, poems, and songs celebrating the devoted father, who perished with his eyes and heart focused on eight-year-old Franklin, six-year-old Alice, and four-year-old Frederick.\'

"
1942,Townsend,Meredith,,,,,(1831-1911),editor of the <i>Friend of India</i> in Calcutta 1853-9; editor of the <i>Spectator</i> 1861-98,
1943,Trevelyan,George Otto,Sir,,2nd Bt.,,(1838-1928),historian,
1944,Reid,Thomas Mayne,Captain,,,,(1818-1883),author of adventure stories for boys from 1850,
1945,Macmillan,Malcolm Kingsley,,,,,(1852-1889),eldest son of Alexander Macmillan,
1946,Macmillan,George Augustin ,,,,,(1855-1936),second son of Alexander Macmillan,
1947,Brooke,,Mr,,,,,lithographer,
1948,McDougall,Francis Thomas,The Rt. Rev.,,,,(1817–1886),Bishop of Labuan and Sarawak,He married Harriette Bunyon in 1843. He returned to England in the late 1860s and eventually became a Canon of Winchester Cathedral. 
1949,McDougall,Harriette,,(Bunyon),,,(1818–1886) ,missionary in Sarawak,"She married (1843) Francis Thomas McDougall.

She was author of  <i>Sketches of our life at Sarawak</i> (1882) and the subject of a 1911 biography by Mary Eliza Bramston.  Her husband was a canon of Winchester and CMY may have met her.
"
1950,Richardson,John ,Sir,,,,(1787–1865),"physician and Arctic explorer, father of Sarah Harriet Selwyn",
1951,Jowett,Benjamin,The Rev.,,,, (1817–1893) ,"Master of Balliol from 1870, liberal theologian",
1952,Robertson,Henrietta,,,,,(d.1864),missionary in Africa,"She was first married to a Mr Woodrow, and then to the Rev. R. I Robertson, who worked with Charles Frederick Mackenzie in central Africa.

Henrietta Robertson was the subject of  Anne Mackenzie\'s book [[otherbook:417]<i>Mission Life among the Zulu-Kafirs: Memorials of Henrietta Robertson wife of the Rev. R. Robertson compiled chiefly from letters and journals written to the late Bishop Mackenzie and his sisters</i>] (Cambridge: Deighton 1866) and she also figures in CMY’s [[cmybook:90]<i>Pioneers and Founders, or, Recent Workers in the Mission Field</i>]  (London: Macmillan 1871)."
